7.9_raw.csv_filtered_by_correlation0_all_replacement_strategy_1,2022-11-30 23:12:44.320613
7.9_raw.csv_filtered_by_correlation0_all_replacement_strategy_1,2022-12-01 16:20:08.336197
7.9_raw.csv_filtered_by_correlation0_all_replacement_strategy_1,2022-12-01 16:42:53.596059
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_3,2022-12-02 13:23:25.612007
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_3,2022-12-02 13:23:26.929062
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_3,2022-12-02 13:23:28.982362
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_3,2022-12-02 13:23:30.268750
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_3,2022-12-02 13:23:32.190113
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_3,2022-12-02 13:23:33.428175
Complete Duration,0:00:09.832854
